timestamp,gearbox_oil_temp,gearbox_bearing_temp,vibration_x,vibration_y,vibration_z,oil_pressure,particle_count
2025-01-01 04:20:00,62.47,67.8,0.0136,0.0115,0.0163,4.53,100
2025-01-01 04:30:00,62.13,68.57,0.0145,0.0123,0.0174,4.46,100
2025-01-01 04:40:00,62.1,67.74,0.0139,0.0118,0.0166,4.48,100
2025-01-01 04:50:00,62.37,68.05,0.0058,0.005,0.007,4.54,100
2025-01-01 05:00:00,62.87,69.73,0.0114,0.0097,0.0137,4.49,100
2025-01-01 05:10:00,62.59,68.1,0.0135,0.0114,0.0161,4.52,100
2025-01-01 05:20:00,62.99,68.9,0.0132,0.0112,0.0159,4.49,100
2025-01-01 05:30:00,63.4,70.94,0.0156,0.0133,0.0188,4.49,100
2025-01-01 05:40:00,61.98,69.3,0.0166,0.0141,0.0199,4.46,100
2025-01-01 05:50:00,62.62,68.34,0.0134,0.0114,0.0161,4.49,100
2025-01-01 06:00:00,62.66,68.77,0.0151,0.0129,0.0182,4.49,100
2025-01-01 06:10:00,63.62,71.05,0.0131,0.0112,0.0158,4.48,100
2025-01-01 06:20:00,64.01,71.11,0.0116,0.0099,0.0139,4.49,100
2025-01-01 06:30:00,64.34,70.71,0.0157,0.0134,0.0189,4.46,100
2025-01-01 06:40:00,61.89,67.71,0.0096,0.0082,0.0115,4.49,101
2025-01-01 06:50:00,61.96,69.21,0.0128,0.0109,0.0154,4.54,101
2025-01-01 07:00:00,63.14,70.68,0.0116,0.0099,0.0139,4.42,101
2025-01-01 07:10:00,62.3,72.04,0.0126,0.0107,0.0151,4.45,101
2025-01-01 07:20:00,64.12,71.79,0.0117,0.01,0.0141,4.43,101
2025-01-01 07:30:00,63.07,68.43,0.0148,0.0126,0.0177,4.52,101
2025-01-01 07:40:00,63.04,69.52,0.0105,0.009,0.0126,4.51,101
2025-01-01 07:50:00,62.29,68.07,0.0096,0.0081,0.0115,4.53,101
2025-01-01 08:00:00,62.57,69.81,0.01,0.0085,0.012,4.48,101
2025-01-01 08:10:00,61.7,67.07,0.0166,0.0141,0.0199,4.48,101
2025-01-01 08:20:00,61.79,67.82,0.0099,0.0084,0.0119,4.45,101
2025-01-01 08:30:00,63.16,69.96,0.0107,0.0091,0.0128,4.54,101
2025-01-01 08:40:00,61.48,67.75,0.0126,0.0107,0.0151,4.51,101
2025-01-01 08:50:00,62.07,67.69,0.0084,0.0072,0.0101,4.48,101
2025-01-01 09:00:00,61.94,67.42,0.0161,0.0137,0.0193,4.5,101
2025-01-01 09:10:00,63.05,69.74,0.0146,0.0124,0.0175,4.49,101
2025-01-01 09:20:00,61.22,66.24,0.0104,0.0088,0.0124,4.56,101
2025-01-01 09:30:00,62.57,69.72,0.0113,0.0096,0.0136,4.51,101
2025-01-01 09:40:00,62.22,68.52,0.0083,0.0071,0.01,4.46,101
2025-01-01 09:50:00,61.52,66.85,0.0164,0.014,0.0197,4.46,101
2025-01-01 10:00:00,61.39,71.86,0.0125,0.0106,0.015,4.54,101
2025-01-01 10:10:00,62.88,70.36,0.0068,0.0057,0.0081,4.49,101
2025-01-01 10:20:00,61.77,69.54,0.0122,0.0104,0.0147,4.47,101
2025-01-01 10:30:00,61.79,68.82,0.0125,0.0107,0.015,4.46,101
2025-01-01 10:40:00,61.5,69.14,0.0096,0.0082,0.0116,4.48,101
2025-01-01 10:50:00,61.13,67.7,0.016,0.0136,0.0192,4.55,101
2025-01-01 11:00:00,60.47,66.9,0.0161,0.0137,0.0193,4.43,101
2025-01-01 11:10:00,60.74,66.43,0.0128,0.0109,0.0153,4.45,101
2025-01-01 11:20:00,60.52,65.52,0.0091,0.0078,0.011,4.46,101
2025-01-01 11:30:00,60.79,69.05,0.012,0.0102,0.0144,4.51,101
2025-01-01 11:40:00,60.16,68.51,0.0149,0.0127,0.0179,4.47,101
2025-01-01 11:50:00,60.05,65.06,0.0142,0.0121,0.0171,4.5,101
2025-01-01 12:00:00,59.5,65.04,0.0137,0.0116,0.0164,4.46,101
2025-01-01 12:10:00,59.36,64.47,0.0129,0.0109,0.0154,4.51,101
2025-01-01 12:20:00,59.86,64.9,0.0156,0.0133,0.0188,4.59,101
2025-01-01 12:30:00,59.22,66.58,0.0077,0.0066,0.0093,4.51,101
2025-01-01 12:40:00,60.37,65.72,0.0205,0.0174,0.0246,4.48,101
2025-01-01 12:50:00,58.28,63.36,0.0156,0.0132,0.0187,4.46,101
2025-01-01 13:00:00,59.22,65.54,0.0113,0.0096,0.0135,4.56,101
2025-01-01 13:10:00,59.52,64.6,0.0149,0.0127,0.0179,4.48,101
2025-01-01 13:20:00,59.56,64.76,0.0138,0.0117,0.0165,4.56,102
2025-01-01 13:30:00,57.87,64.63,0.0125,0.0106,0.015,4.53,102
2025-01-01 13:40:00,59.57,64.81,0.0109,0.0093,0.0131,4.5,102
2025-01-01 13:50:00,57.22,63.72,0.0108,0.0092,0.013,4.54,102
2025-01-01 14:00:00,59.03,66.77,0.0101,0.0086,0.0122,4.53,102
2025-01-01 14:10:00,59.13,65.03,0.0121,0.0103,0.0146,4.47,102
2025-01-01 14:20:00,57.97,63.86,0.0112,0.0095,0.0134,4.45,102
2025-01-01 14:30:00,58.4,65.96,0.015,0.0128,0.018,4.55,102
2025-01-01 14:40:00,57.21,65.38,0.0104,0.0089,0.0125,4.44,102
2025-01-01 14:50:00,57.99,65.51,0.012,0.0102,0.0144,4.5,102
2025-01-01 15:00:00,57.62,65.45,0.0101,0.0086,0.0121,4.46,102
2025-01-01 15:10:00,56.75,61.88,0.0218,0.0186,0.0262,4.48,102
2025-01-01 15:20:00,57.39,66.07,0.0124,0.0106,0.0149,4.48,102
2025-01-01 15:30:00,57.7,65.75,0.0134,0.0114,0.0161,4.48,102
2025-01-01 15:40:00,56.77,62.04,0.015,0.0128,0.0181,4.45,102
2025-01-01 15:50:00,56.67,62.69,0.0137,0.0116,0.0164,4.5,102
2025-01-01 16:00:00,57.9,64.67,0.0105,0.0089,0.0126,4.48,102
2025-01-01 16:10:00,57.38,62.86,0.0096,0.0082,0.0115,4.56,102
2025-01-01 16:20:00,55.99,61.51,0.0126,0.0107,0.0151,4.53,102
2025-01-01 16:30:00,58.18,64.48,0.0115,0.0098,0.0138,4.43,102
2025-01-01 16:40:00,56.45,64.88,0.0135,0.0115,0.0162,4.51,102
2025-01-01 16:50:00,58.35,66.76,0.0167,0.0142,0.02,4.45,102
2025-01-01 17:00:00,58.13,66.45,0.0081,0.0069,0.0098,4.53,102
2025-01-01 17:10:00,57.69,63.62,0.0137,0.0117,0.0165,4.5,102
2025-01-01 17:20:00,58.27,63.6,0.0091,0.0077,0.0109,4.5,102
2025-01-01 17:30:00,56.81,62.26,0.0149,0.0127,0.0179,4.47,102
2025-01-01 17:40:00,57.24,65.83,0.0147,0.0125,0.0176,4.52,102
2025-01-01 17:50:00,56.52,62.94,0.0133,0.0113,0.016,4.41,102
2025-01-01 18:00:00,56.73,63.42,0.0091,0.0077,0.0109,4.51,102
2025-01-01 18:10:00,57.74,65.0,0.0148,0.0126,0.0177,4.41,102
2025-01-01 18:20:00,56.53,62.86,0.0117,0.0099,0.014,4.52,102
2025-01-01 18:30:00,57.28,63.2,0.0079,0.0067,0.0094,4.45,102
2025-01-01 18:40:00,57.77,64.4,0.0165,0.014,0.0198,4.48,102
2025-01-01 18:50:00,57.67,63.0,0.0123,0.0104,0.0147,4.4,102
2025-01-01 19:00:00,56.79,64.65,0.0131,0.0111,0.0157,4.48,102
2025-01-01 19:10:00,57.73,63.27,0.0083,0.007,0.0099,4.47,102
2025-01-01 19:20:00,58.41,64.5,0.0111,0.0094,0.0133,4.57,102
2025-01-01 19:30:00,57.05,64.19,0.0119,0.0102,0.0143,4.49,102
2025-01-01 19:40:00,58.12,64.02,0.0088,0.0075,0.0106,4.47,102
2025-01-01 19:50:00,57.89,63.5,0.0204,0.0174,0.0245,4.55,102
2025-01-01 20:00:00,57.04,62.13,0.0132,0.0113,0.0159,4.49,102
2025-01-01 20:10:00,57.01,62.75,0.0169,0.0144,0.0203,4.56,102
2025-01-01 20:20:00,57.19,63.78,0.0073,0.0062,0.0088,4.43,102
2025-01-01 20:30:00,59.09,64.82,0.0172,0.0146,0.0206,4.51,102
2025-01-01 20:40:00,56.61,61.85,0.0137,0.0117,0.0165,4.44,102
2025-01-01 20:50:00,56.27,63.29,0.013,0.0111,0.0156,4.51,102
2025-01-01 21:00:00,57.89,63.22,0.0138,0.0117,0.0165,4.48,102
2025-01-01 21:10:00,57.33,65.35,0.0137,0.0117,0.0165,4.5,103
2025-01-01 21:20:00,57.1,63.09,0.0098,0.0083,0.0118,4.49,103
2025-01-01 21:30:00,60.06,68.65,0.0079,0.0068,0.0095,4.51,103
2025-01-01 21:40:00,57.61,64.41,0.0149,0.0127,0.0179,4.45,103
2025-01-01 21:50:00,58.45,68.62,0.0032,0.0027,0.0039,4.56,103
2025-01-01 22:00:00,58.67,64.19,0.0125,0.0106,0.015,4.53,103
2025-01-01 22:10:00,58.99,64.59,0.0105,0.0089,0.0126,4.52,103
2025-01-01 22:20:00,59.21,66.45,0.011,0.0093,0.0132,4.44,103
2025-01-01 22:30:00,58.93,64.39,0.0106,0.009,0.0127,4.52,103
2025-01-01 22:40:00,60.14,70.17,0.015,0.0127,0.0179,4.51,103
2025-01-01 22:50:00,58.93,65.27,0.0102,0.0087,0.0122,4.53,103
2025-01-01 23:00:00,58.83,67.17,0.012,0.0102,0.0144,4.53,103
2025-01-01 23:10:00,58.57,64.78,0.0131,0.0111,0.0157,4.52,103
2025-01-01 23:20:00,60.09,66.2,0.0161,0.0137,0.0193,4.46,103
2025-01-01 23:30:00,58.28,66.94,0.0124,0.0106,0.0149,4.45,103
2025-01-01 23:40:00,59.58,65.45,0.0077,0.0065,0.0092,4.47,103
2025-01-01 23:50:00,60.01,65.42,0.0181,0.0154,0.0217,4.54,103
2025-01-02 00:00:00,61.58,66.68,0.0115,0.0098,0.0138,4.47,103
2025-01-02 00:10:00,59.64,65.62,0.0098,0.0083,0.0118,4.51,103
2025-01-02 00:20:00,60.4,67.4,0.0111,0.0094,0.0133,4.46,103
2025-01-02 00:30:00,59.95,66.99,0.0139,0.0118,0.0167,4.47,103
2025-01-02 00:40:00,60.51,66.56,0.0123,0.0104,0.0147,4.48,103
2025-01-02 00:50:00,60.98,66.51,0.0094,0.008,0.0113,4.57,103
2025-01-02 01:00:00,61.76,67.41,0.0101,0.0086,0.0121,4.49,103
2025-01-02 01:10:00,60.53,67.15,0.0085,0.0072,0.0101,4.52,103
2025-01-02 01:20:00,59.68,64.97,0.0142,0.0121,0.017,4.49,103
2025-01-02 01:30:00,61.18,69.82,0.0167,0.0142,0.0201,4.55,103
2025-01-02 01:40:00,62.86,68.8,0.0094,0.008,0.0112,4.46,103
2025-01-02 01:50:00,60.91,66.77,0.0088,0.0075,0.0106,4.53,103
2025-01-02 02:00:00,61.92,69.42,0.009,0.0076,0.0108,4.57,103
2025-01-02 02:10:00,62.44,67.8,0.0115,0.0098,0.0138,4.43,103
2025-01-02 02:20:00,61.31,67.27,0.014,0.0119,0.0168,4.55,103
2025-01-02 02:30:00,62.94,69.33,0.0077,0.0065,0.0092,4.42,103
2025-01-02 02:40:00,62.18,67.35,0.0114,0.0097,0.0137,4.46,103
2025-01-02 02:50:00,62.84,70.68,0.0134,0.0114,0.0161,4.46,103
2025-01-02 03:00:00,62.89,68.34,0.0131,0.0111,0.0157,4.48,103
2025-01-02 03:10:00,62.7,68.82,0.0108,0.0091,0.0129,4.49,103
2025-01-02 03:20:00,62.71,68.56,0.0147,0.0125,0.0176,4.47,103
2025-01-02 03:30:00,62.54,67.94,0.0183,0.0155,0.0219,4.54,103
2025-01-02 03:40:00,63.8,71.22,0.0139,0.0118,0.0167,4.52,103
2025-01-02 03:50:00,62.6,67.89,0.0167,0.0142,0.0201,4.52,103
2025-01-02 04:00:00,62.6,69.52,0.0164,0.0139,0.0196,4.54,103
2025-01-02 04:10:00,62.06,68.94,0.0164,0.0139,0.0196,4.45,103
2025-01-02 04:20:00,63.67,70.27,0.0154,0.013,0.0184,4.58,104
2025-01-02 04:30:00,61.13,67.56,0.0062,0.0053,0.0075,4.42,104
2025-01-02 04:40:00,62.89,68.31,0.004,0.0034,0.0048,4.5,104
2025-01-02 04:50:00,62.44,70.3,0.0133,0.0113,0.016,4.55,104
2025-01-02 05:00:00,61.99,69.08,0.0067,0.0057,0.0081,4.4,104
2025-01-02 05:10:00,63.16,72.72,0.0123,0.0104,0.0147,4.49,104
2025-01-02 05:20:00,64.54,70.55,0.0151,0.0128,0.0181,4.5,104
2025-01-02 05:30:00,62.88,69.08,0.0133,0.0113,0.0159,4.49,104
2025-01-02 05:40:00,63.67,68.98,0.0109,0.0092,0.0131,4.47,104
2025-01-02 05:50:00,62.27,67.97,0.0066,0.0056,0.0079,4.48,104
2025-01-02 06:00:00,62.99,68.3,0.0116,0.0098,0.0139,4.51,104
2025-01-02 06:10:00,62.9,70.14,0.012,0.0102,0.0145,4.47,104
2025-01-02 06:20:00,62.81,69.35,0.018,0.0153,0.0216,4.53,104
2025-01-02 06:30:00,63.89,68.96,0.0111,0.0094,0.0133,4.52,104
2025-01-02 06:40:00,62.68,70.4,0.0116,0.0098,0.0139,4.52,104
2025-01-02 06:50:00,63.17,69.04,0.0124,0.0106,0.0149,4.52,104
2025-01-02 07:00:00,62.89,68.24,0.0092,0.0078,0.011,4.53,104
2025-01-02 07:10:00,62.85,71.9,0.0147,0.0125,0.0176,4.5,104
2025-01-02 07:20:00,63.58,69.76,0.0092,0.0079,0.0111,4.5,104
2025-01-02 07:30:00,63.12,68.51,0.0045,0.0038,0.0054,4.52,104
2025-01-02 07:40:00,63.2,68.67,0.0137,0.0117,0.0165,4.46,104
2025-01-02 07:50:00,62.28,67.59,0.011,0.0093,0.0131,4.52,104
2025-01-02 08:00:00,62.11,70.99,0.0096,0.0082,0.0115,4.46,104
2025-01-02 08:10:00,62.87,68.45,0.0103,0.0087,0.0123,4.51,104
2025-01-02 08:20:00,61.71,69.04,0.006,0.0051,0.0073,4.51,104
2025-01-02 08:30:00,63.46,70.31,0.012,0.0102,0.0144,4.44,104
2025-01-02 08:40:00,62.72,69.65,0.0093,0.0079,0.0112,4.47,104
2025-01-02 08:50:00,63.01,69.1,0.0133,0.0113,0.016,4.53,104
2025-01-02 09:00:00,61.86,68.81,0.015,0.0127,0.018,4.49,104
2025-01-02 09:10:00,62.54,68.65,0.0108,0.0092,0.013,4.48,104
2025-01-02 09:20:00,62.12,67.51,0.013,0.0111,0.0156,4.49,104
2025-01-02 09:30:00,61.71,68.93,0.0075,0.0064,0.009,4.53,104
2025-01-02 09:40:00,61.77,69.39,0.0166,0.0141,0.0199,4.53,104
2025-01-02 09:50:00,61.03,67.38,0.0072,0.0061,0.0087,4.49,104
2025-01-02 10:00:00,62.81,70.09,0.0105,0.0089,0.0126,4.47,104
2025-01-02 10:10:00,61.14,66.39,0.0134,0.0114,0.0161,4.48,104
2025-01-02 10:20:00,60.22,67.19,0.0077,0.0066,0.0093,4.54,104
2025-01-02 10:30:00,62.15,67.54,0.007,0.0059,0.0083,4.41,104
2025-01-02 10:40:00,62.31,70.57,0.0096,0.0082,0.0116,4.56,104
2025-01-02 10:50:00,61.12,66.14,0.0122,0.0104,0.0146,4.48,104
2025-01-02 11:00:00,60.86,66.32,0.0118,0.0101,0.0142,4.53,104
2025-01-02 11:10:00,61.12,69.53,0.0132,0.0112,0.0158,4.47,105
2025-01-02 11:20:00,60.79,68.54,0.0111,0.0095,0.0134,4.53,105
2025-01-02 11:30:00,60.12,67.59,0.005,0.0042,0.006,4.51,105
2025-01-02 11:40:00,60.43,66.97,0.0101,0.0086,0.0122,4.48,105
2025-01-02 11:50:00,60.7,65.93,0.0124,0.0105,0.0148,4.47,105
2025-01-02 12:00:00,59.62,66.57,0.0102,0.0087,0.0122,4.54,105
2025-01-02 12:10:00,58.41,63.69,0.0125,0.0106,0.015,4.53,105
2025-01-02 12:20:00,59.66,66.84,0.0075,0.0064,0.009,4.52,105
2025-01-02 12:30:00,59.25,65.56,0.0118,0.01,0.0142,4.48,105
2025-01-02 12:40:00,60.53,67.29,0.0084,0.0072,0.0101,4.46,105
2025-01-02 12:50:00,59.8,64.85,0.0141,0.012,0.017,4.43,105
2025-01-02 13:00:00,58.49,65.94,0.0108,0.0091,0.0129,4.49,105
2025-01-02 13:10:00,59.62,65.05,0.0168,0.0142,0.0201,4.51,105
2025-01-02 13:20:00,59.15,65.09,0.0126,0.0107,0.0151,4.54,105
2025-01-02 13:30:00,59.0,65.36,0.0149,0.0127,0.0179,4.46,105
2025-01-02 13:40:00,59.7,67.31,0.0087,0.0074,0.0104,4.52,105
2025-01-02 13:50:00,59.22,65.41,0.0169,0.0143,0.0202,4.44,105
2025-01-02 14:00:00,59.19,65.7,0.0078,0.0066,0.0093,4.48,105
2025-01-02 14:10:00,57.35,62.78,0.0123,0.0105,0.0148,4.47,105
2025-01-02 14:20:00,57.75,63.73,0.0132,0.0112,0.0158,4.51,105
2025-01-02 14:30:00,57.4,63.39,0.0134,0.0114,0.0161,4.49,105
2025-01-02 14:40:00,56.98,62.49,0.0118,0.01,0.0141,4.56,105
2025-01-02 14:50:00,57.3,65.63,0.0097,0.0082,0.0116,4.6,105
2025-01-02 15:00:00,58.08,65.27,0.0145,0.0123,0.0174,4.48,105
2025-01-02 15:10:00,58.41,64.66,0.0143,0.0121,0.0171,4.48,105
2025-01-02 15:20:00,57.07,63.73,0.0106,0.009,0.0127,4.45,105
2025-01-02 15:30:00,57.93,65.29,0.0138,0.0118,0.0166,4.52,105
2025-01-02 15:40:00,57.72,63.91,0.0163,0.0139,0.0196,4.45,105
2025-01-02 15:50:00,56.48,66.15,0.0096,0.0081,0.0115,4.55,105
2025-01-02 16:00:00,57.5,67.36,0.0124,0.0106,0.0149,4.58,105
2025-01-02 16:10:00,58.42,63.96,0.0174,0.0148,0.0208,4.53,105
2025-01-02 16:20:00,58.14,64.73,0.011,0.0093,0.0132,4.56,105
2025-01-02 16:30:00,56.45,62.55,0.0142,0.012,0.017,4.47,105
2025-01-02 16:40:00,57.79,64.44,0.0138,0.0117,0.0166,4.54,105
2025-01-02 16:50:00,58.72,65.57,0.0106,0.009,0.0127,4.52,105
2025-01-02 17:00:00,56.92,62.9,0.0102,0.0087,0.0123,4.45,105
2025-01-02 17:10:00,55.7,65.82,0.0127,0.0108,0.0153,4.49,105
2025-01-02 17:20:00,57.6,64.36,0.0115,0.0098,0.0138,4.48,106
2025-01-02 17:30:00,58.31,63.74,0.0132,0.0112,0.0158,4.51,106
2025-01-02 17:40:00,58.45,64.98,0.0108,0.0092,0.013,4.55,106
2025-01-02 17:50:00,57.51,63.87,0.0078,0.0066,0.0093,4.51,106
2025-01-02 18:00:00,58.3,63.41,0.0112,0.0095,0.0134,4.56,106
2025-01-02 18:10:00,57.67,62.87,0.0165,0.014,0.0198,4.47,106
2025-01-02 18:20:00,57.73,67.1,0.0145,0.0123,0.0173,4.54,106
2025-01-02 18:30:00,57.05,64.95,0.0087,0.0074,0.0104,4.5,106
2025-01-02 18:40:00,58.36,63.42,0.0149,0.0126,0.0178,4.51,106
2025-01-02 18:50:00,57.23,62.73,0.012,0.0102,0.0144,4.59,106
2025-01-02 19:00:00,57.31,66.85,0.0104,0.0088,0.0125,4.56,106
2025-01-02 19:10:00,58.07,65.11,0.012,0.0102,0.0144,4.44,106
2025-01-02 19:20:00,57.29,64.05,0.0165,0.0141,0.0198,4.52,106
2025-01-02 19:30:00,57.39,63.82,0.0136,0.0116,0.0164,4.5,106
2025-01-02 19:40:00,57.36,62.64,0.0155,0.0131,0.0185,4.52,106
2025-01-02 19:50:00,57.13,62.81,0.0094,0.008,0.0113,4.51,106
2025-01-02 20:00:00,57.29,64.23,0.013,0.0111,0.0156,4.5,106
2025-01-02 20:10:00,59.04,64.14,0.015,0.0127,0.018,4.49,106
2025-01-02 20:20:00,58.41,64.5,0.0084,0.0071,0.0101,4.5,106
2025-01-02 20:30:00,57.85,64.08,0.0135,0.0115,0.0162,4.49,106
2025-01-02 20:40:00,58.59,65.95,0.0102,0.0087,0.0122,4.49,106
2025-01-02 20:50:00,58.83,65.08,0.0131,0.0112,0.0157,4.52,106
2025-01-02 21:00:00,57.74,62.94,0.0111,0.0094,0.0133,4.46,106
2025-01-02 21:10:00,57.65,62.69,0.0053,0.0045,0.0063,4.47,106
2025-01-02 21:20:00,58.39,64.11,0.0104,0.0088,0.0124,4.46,106
2025-01-02 21:30:00,59.23,64.61,0.0163,0.0138,0.0195,4.49,106
2025-01-02 21:40:00,58.3,65.13,0.014,0.0119,0.0168,4.51,106
2025-01-02 21:50:00,58.24,63.66,0.0086,0.0073,0.0103,4.46,106
2025-01-02 22:00:00,59.59,65.35,0.0121,0.0103,0.0146,4.44,106
2025-01-02 22:10:00,59.69,64.8,0.012,0.0102,0.0144,4.53,106
2025-01-02 22:20:00,58.52,63.65,0.0134,0.0114,0.0161,4.5,106
2025-01-02 22:30:00,58.9,64.52,0.0152,0.0129,0.0182,4.54,106
2025-01-02 22:40:00,59.49,65.94,0.0146,0.0124,0.0175,4.52,106
2025-01-02 22:50:00,59.98,68.07,0.0166,0.0141,0.02,4.45,106
2025-01-02 23:00:00,60.61,66.28,0.0135,0.0115,0.0162,4.48,106
2025-01-02 23:10:00,60.69,67.32,0.0106,0.009,0.0127,4.5,106
2025-01-02 23:20:00,59.34,67.75,0.0124,0.0105,0.0149,4.47,106
2025-01-02 23:30:00,59.39,64.5,0.0126,0.0107,0.0151,4.49,106
2025-01-02 23:40:00,60.29,65.63,0.0094,0.008,0.0113,4.5,106
2025-01-02 23:50:00,60.2,66.18,0.0132,0.0112,0.0159,4.44,106
2025-01-03 00:00:00,60.27,67.25,0.0139,0.0118,0.0167,4.48,106
2025-01-03 00:10:00,61.28,67.33,0.0155,0.0132,0.0186,4.53,106
2025-01-03 00:20:00,60.85,68.12,0.0068,0.0058,0.0082,4.47,106
2025-01-03 00:30:00,61.14,67.46,0.0208,0.0177,0.025,4.52,106
2025-01-03 00:40:00,60.9,66.6,0.0096,0.0081,0.0115,4.43,106
2025-01-03 00:50:00,60.88,69.14,0.0109,0.0092,0.013,4.51,106
2025-01-03 01:00:00,61.69,66.85,0.0088,0.0075,0.0105,4.43,107
2025-01-03 01:10:00,60.98,66.84,0.0104,0.0089,0.0125,4.57,107
2025-01-03 01:20:00,61.26,66.6,0.0106,0.009,0.0128,4.5,107
2025-01-03 01:30:00,61.03,66.22,0.0082,0.007,0.0098,4.51,107
2025-01-03 01:40:00,60.82,67.41,0.006,0.0051,0.0072,4.51,107
2025-01-03 01:50:00,60.47,69.61,0.0136,0.0116,0.0164,4.48,107
2025-01-03 02:00:00,61.12,67.55,0.0108,0.0092,0.013,4.49,107
2025-01-03 02:10:00,63.08,70.2,0.0152,0.0129,0.0182,4.46,107
2025-01-03 02:20:00,62.35,67.76,0.0108,0.0092,0.013,4.51,107
2025-01-03 02:30:00,63.49,70.72,0.014,0.0119,0.0168,4.52,107
2025-01-03 02:40:00,62.28,67.71,0.011,0.0094,0.0132,4.45,107
2025-01-03 02:50:00,61.48,67.81,0.014,0.0119,0.0168,4.48,107
2025-01-03 03:00:00,62.51,71.22,0.0163,0.0139,0.0196,4.54,107
2025-01-03 03:10:00,61.31,68.04,0.0112,0.0095,0.0134,4.48,107
2025-01-03 03:20:00,62.8,71.02,0.0112,0.0095,0.0135,4.51,107
2025-01-03 03:30:00,63.74,72.86,0.0082,0.007,0.0099,4.45,107
2025-01-03 03:40:00,63.84,69.16,0.0168,0.0143,0.0201,4.52,107
2025-01-03 03:50:00,63.58,71.11,0.007,0.0059,0.0083,4.52,107
2025-01-03 04:00:00,62.53,68.34,0.0085,0.0072,0.0101,4.47,107
2025-01-03 04:10:00,62.8,69.44,0.0149,0.0126,0.0178,4.53,107
2025-01-03 04:20:00,62.02,71.65,0.0126,0.0107,0.0151,4.5,107
2025-01-03 04:30:00,63.09,70.2,0.0124,0.0105,0.0149,4.45,107
2025-01-03 04:40:00,63.67,71.08,0.0163,0.0138,0.0195,4.54,107
2025-01-03 04:50:00,63.18,70.85,0.0148,0.0126,0.0178,4.52,107
2025-01-03 05:00:00,62.36,69.12,0.0116,0.0098,0.0139,4.43,107
2025-01-03 05:10:00,63.59,70.83,0.0103,0.0087,0.0123,4.52,107
2025-01-03 05:20:00,63.21,69.78,0.0141,0.012,0.017,4.5,107
2025-01-03 05:30:00,63.44,70.46,0.0124,0.0106,0.0149,4.5,107
2025-01-03 05:40:00,64.68,71.23,0.008,0.0068,0.0096,4.53,107
2025-01-03 05:50:00,63.74,69.22,0.0095,0.0081,0.0114,4.48,107
2025-01-03 06:00:00,63.74,69.53,0.0098,0.0083,0.0117,4.51,107
2025-01-03 06:10:00,64.93,70.72,0.0061,0.0052,0.0073,4.47,107
2025-01-03 06:20:00,63.31,69.65,0.0166,0.0141,0.02,4.56,107
2025-01-03 06:30:00,62.29,68.64,0.0081,0.0069,0.0097,4.5,107
2025-01-03 06:40:00,63.62,69.57,0.0155,0.0132,0.0187,4.53,107
2025-01-03 06:50:00,63.73,69.2,0.0125,0.0107,0.0151,4.53,107
2025-01-03 07:00:00,62.98,70.85,0.0127,0.0108,0.0152,4.52,107
2025-01-03 07:10:00,64.68,72.21,0.0118,0.01,0.0142,4.59,108
2025-01-03 07:20:00,63.88,71.2,0.0108,0.0091,0.0129,4.51,108
